,0,1
63,"Dolphin's Barn, Ushers E ED, Dublin, County Dublin, Leinster, D08 N2X7, Éire / Ireland","(53.3334215, -6.2914261)"
64,"Source of Glencree River, Military Road, Rathfarnham, Bohernabreena ED, South Dublin, Dublin 16, Leinster, D24 V602, Éire / Ireland","(53.2236096, -6.3013562)"
65,"Bloom, Bridgefoot Street, Ushers B ED, Dublin, County Dublin, Leinster, D08 P8H3, Éire / Ireland","(53.3433604, -6.28141)"
66,"Kilbarrack, Raheny-Greendale ED, Dublin, County Dublin, Leinster, D05 H2K2, Éire / Ireland","(53.3829313, -6.1497297)"
67,"Ballybough, North Strand, Ballybough A ED, Dublin, Dublin 3, Leinster, D03 F9P7, Éire / Ireland","(53.3613503, -6.2461912)"
68,"Donnybrook, Rathmines East B ED, Dublin, County Dublin, Leinster, D04 T8X2, Éire / Ireland","(53.3220419, -6.236355)"
69,"Jerusalem, 77, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland","(53.3353711, -6.2654097)"
70,"Constitution Hill, Arran Quay B ED, Dublin, County Dublin, Leinster, D07 E128, Éire / Ireland","(53.3529008, -6.273238)"
71,"Hennessy Glass, Kimmage Road Lower, Kimmage Village, Kimmage (pt. Rathfarnham C.P.), Terenure A ED, Dublin, County Dublin, Leinster, D12 Y313, Éire / Ireland","(53.3169114, -6.2931666)"
72,"Mexico to Rome, Wellington Quay, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 Y103, Éire / Ireland","(53.3457261, -6.2643978)"
73,"GPO 3 Miles, Terenure Road East, Rathgar, Rathmines West E ED, Dublin, County Dublin, Leinster, D06 K767, Éire / Ireland","(53.3110067, -6.2793663)"
74,"Mooney's, 4, Abbey Street Lower, North City ED, Dublin, County Dublin, Leinster, D01 W2C2, Éire / Ireland","(53.34866785, -6.258886006845497)"
75,"Moira Road, Oxmantown, Arran Quay D ED, Dublin, Dublin 7, Leinster, D07 E1RD, Éire / Ireland","(53.3523517, -6.2904991)"
76,"#409 Merrion Sq, Holles Street, Merrion Square North, Mansion House A ED, Dublin, County Dublin, Leinster, D02 WD37, Éire / Ireland","(53.3401408, -6.2476498)"
77,"Harry Burke’s, 53, Dublin Street, Carlow, Carlow Urban ED, The Municipal District of Carlow, County Carlow, Leinster, R93 R221, Éire / Ireland","(52.837166, -6.9317647)"
78,"Maynooth Citizens Information Centre, Dublin Road, Maynooth ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W23 KV65, Éire / Ireland","(53.3819661, -6.5883857)"
79,"Saint Andrews Park, Swords-Lissenhall ED, Fingal, County Dublin, Leinster, Éire / Ireland","(53.46611955, -6.233984545742523)"
80,"Clyde Road, Pembroke West B ED, Dublin, Dublin 4, Leinster, D04 RK20, Éire / Ireland","(53.3294328, -6.2364506)"
81,"KFC, Parnell Street, North City ED, Dublin, County Dublin, Leinster, D01 HW54, Éire / Ireland","(53.3510437, -6.2641486)"
82,"Richmond, Drumcondra South A ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3677289, -6.245728212186524)"
83,"Eclipse, Block 503, Grants Row, Greenogue Business Park, Newcastle ED, South Dublin, County Dublin, Leinster, D24 PE82, Éire / Ireland","(53.2948022, -6.4747299)"
84,"Shelbourne Park, Hastings Street, Pembroke West A ED, Dublin, County Dublin, Leinster, D04 W5C3, Éire / Ireland","(53.34047855, -6.230197004709833)"
85,"#333 D'Olier Street, O'Connell Bridge, D'Olier Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 X984, Éire / Ireland","(53.3466746, -6.2583278)"
